Qubits,Iterations,Runtime_seconds,Success_probability,Circuit_depth,Gate_count
4,3,0.09900355339050293,0.9580078125,19,49
6,6,0.09050488471984863,0.9970703125,37,119
8,13,0.10191559791564941,0.9853515625,79,301
10,25,0.10158109664916992,0.9990234375,151,669
12,50,0.14063024520874023,1.0,301,1523
14,101,0.26320838928222656,0.9990234375,607,3461
16,201,0.7273399829864502,1.0,1207,7669
18,402,4.120457887649536,1.0,2413,16919
20,804,38.21249842643738,1.0,4825,37023
