Algorithm,Keygen_ms,Enc_ms,Dec_ms,PublicKey_bytes,Ciphertext_bytes,Quantum_Safe
RSA-2048,40.15751551000449,0.04113936004614516,0.7631636699989031,294,256,False
RSA-3072,142.40885849998904,0.06365390999235387,2.0372215100087487,422,384,False
ECC-256,0.01787147996310523,0.036492609997367254,0.07650633002413088,91,70,False
AES-128,0.0006815999859099975,0.160884469978555,0.06764021000890352,16,37,False
AES-256,0.0006775999690944445,0.05561344000398094,0.06546513998728187,32,37,False
Kyber512,1.6064741699983642,2.2258523099981176,3.150211890006176,800,768,True
Kyber768,2.680282040005295,3.4167033400035507,4.634933549987181,1184,1088,True
Kyber1024,4.01742575001208,4.877562149999903,6.398636110006919,1568,1568,True
