session_id,demo,combo_id,sources,cipher,kyber_variant,decrypt_ok,qber,threat_level,threat_label,action,l1_ms,l2_ms,l3_ms,l4_ms,l5_enc_ms,l5_dec_ms,l6_ms
demo1_session,demo1_normal,0,qkd,AES-256-GCM,Kyber1024,True,0.0136986301369863,1,WARNING,ALERT_SIDE_CHANNEL,1337.4665309997908,75.32872999991014,0.5254120001154661,986.0769730003085,381.81873999974414,0.008276000244222814,0.174701000105415
demo2_base,demo2_ratchet,0,qkd,AES-256-GCM,Kyber1024,True,0.010101010101010102,1,WARNING,ALERT_SIDE_CHANNEL,1056.798960999913,74.50862800033065,0.11371600021448103,0.0,0.0,0.0,0.18955999985337257
demo3_eve,demo3_eavesdrop,1,kyber,AES-256-GCM,Kyber1024,True,0.25617283950617287,3,CRITICAL,ABORT_SESSION_AND_BLACKLIST:eve_path,1008.62103999998,150.5055180000454,0.0922000003811263,982.8722450001806,372.5011960000302,0.0077189997682580724,0.15473999974346953
demo4_aes,demo4_cipher_aes,1,kyber,AES-256-GCM,Kyber1024,True,0.01056910569105691,1,WARNING,ALERT_SIDE_CHANNEL,1012.328325999988,73.4188549999999,0.058148999869445106,975.9480620000431,380.00921899993045,0.00883999973666505,0.17823700000008103
demo4_chacha,demo4_cipher_chacha,4,qkd+qrng,ChaCha20-Poly1305,Kyber1024,True,0.012441679626749611,1,WARNING,ALERT_SIDE_CHANNEL,1006.7390419999356,148.67467700014458,0.14258500004871166,1087.568934999581,409.24336799980665,0.009917999705066904,0.300081999739632
demo5_kyber1024,demo5_kyber1024,4,qkd+qrng,AES-256-GCM,Kyber1024,True,0.008527131782945736,1,WARNING,ALERT_SIDE_CHANNEL,1070.018581000113,84.44527199981167,0.2657879999787838,1083.0939880002006,375.99132000013924,0.00841999963085982,0.18132399964088108
demo5_kyber768,demo5_kyber768,4,qkd+qrng,AES-256-GCM,Kyber768,True,0.009389671361502348,1,WARNING,ALERT_SIDE_CHANNEL,987.4818330004018,76.00951199992778,0.12500999991971184,1057.7549120002914,381.5920540000661,0.01001800001176889,0.5277440000099887
demo1_session,demo1_normal,0,qkd,AES-256-GCM,Kyber1024,True,0.0136986301369863,0,CLEAR,NO_ACTION,1329.3732709998949,74.26040900008957,0.8556620000490511,1001.460230000248,400.5918319999182,0.008351999895239715,0.5392799998844566
demo2_base,demo2_ratchet,0,qkd,AES-256-GCM,Kyber1024,True,0.010101010101010102,0,CLEAR,NO_ACTION,992.4997859998257,72.84373800030153,0.05601699967883178,4881.666055999631,0.0,0.0,0.16863700011526817
demo3_eve,demo3_eavesdrop,1,kyber,AES-256-GCM,Kyber1024,True,0.25617283950617287,3,CRITICAL,ABORT_SESSION_AND_BLACKLIST:eve_path,988.6326959999678,148.73862699960227,0.08705199979885947,964.6939939998447,376.799303000098,0.0074239997047698125,0.21034599967606482
demo4_aes,demo4_cipher_aes,1,kyber,AES-256-GCM,Kyber1024,True,0.01056910569105691,0,CLEAR,NO_ACTION,1017.1118499997647,72.84425699981512,0.07360200015682494,969.2655899998499,371.76966500010167,0.007801999799994519,0.3186490002917708
demo4_chacha,demo4_cipher_chacha,4,qkd+qrng,ChaCha20-Poly1305,Kyber1024,True,0.012441679626749611,0,CLEAR,NO_ACTION,1003.7319620000744,147.1565259998897,0.05300699967847322,1019.02610299976,376.94975799968233,0.008339000032719923,0.2133459997821774
demo5_kyber1024,demo5_kyber1024,4,qkd+qrng,AES-256-GCM,Kyber1024,True,0.008527131782945736,0,CLEAR,NO_ACTION,1041.3839640000333,76.94927400007145,0.16201399967030738,1006.8849330000376,392.4082879998423,0.009206999948219163,0.35216200012655463
demo5_kyber768,demo5_kyber768,4,qkd+qrng,AES-256-GCM,Kyber768,True,0.009389671361502348,1,WARNING,ALERT_SIDE_CHANNEL,1007.9548309995516,75.67838000022675,0.06137199989098008,1015.2026230002775,380.9445140000207,0.00735100002202671,0.2652430002854089
